mag_id	mag_name	edger_trend	hmsc_trend	domain	phylum	class	order	family	genus	species
ERR4304504bin.75	cmag_239	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ERR4304504bin.79	cmag_240	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp000431535
ERR4304504bin.8	cmag_241	stable	increaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	UBA8514	NA
ERR4304504bin.9	cmag_242	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-793	NA
ERR4304505bin.10	cmag_243	increaser	increaser	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
ERR4304505bin.105	cmag_244	increaser	stable	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	CAG-312	CAG-312 sp001917305
ERR4304505bin.107	cmag_245	stable	decreaser	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium sp000436095
ERR4304505bin.31	cmag_246	increaser	stable	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	NA
ERR4304505bin.4	cmag_247	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
ERR4304505bin.61	cmag_248	increaser	increaser	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae
ERR4304505bin.69	cmag_249	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	NA
ERR4304505bin.95	cmag_250	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	UBA1685	NA
ERR4304580bin.21	cmag_251	increaser	increaser	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	NA
ERR4304580bin.33	cmag_252	increaser	increaser	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	Parasutterella excrementihominis
ERR4304580bin.57	cmag_253	decreaser	stable	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera elsdenii
ERR4304580bin.59	cmag_254	increaser	increaser	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis sp002998355
ERR4304580bin.85	cmag_255	decreaser	decreaser	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	UMGS1518	NA
ERR4304580bin.90	cmag_256	decreaser	stable	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940	UBA11940 sp900549005
ERR4304580bin.95	cmag_257	increaser	increaser	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila sp900550745
ERR4304580bin.96	cmag_258	decreaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Hydrogeniiclostridium	NA
ERR4304669bin.23	cmag_259	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ERR4304669bin.6	cmag_260	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872	NA
ERR4304808bin.27	cmag_261	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	NA
ERR4304808bin.28	cmag_262	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ERR4304808bin.56	cmag_263	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	NA
ERR4336989bin.10	cmag_264	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-460	NA
ERR4336989bin.105	cmag_265	increaser	stable	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia	NA
