ERR4968705_bin_27	ERR4836965_bin_9	30
ERR4836957_bin_34	ERR4836965_bin_9	22
ERR4304504bin_79	ERR4836965_bin_9	24
ERR4304454bin_62	ERR4836965_bin_9	30
ERR4836908_bin_42	ERR4836965_bin_9	8
ERR4969151_bin_81	ERR4836965_bin_9	31
ERR4969053_bin_83	ERR4836965_bin_9	26
ERR4304451bin_12	ERR4836965_bin_9	36
ERR4968711_bin_9	ERR4836965_bin_9	21
ERR4836959_bin_41	ERR4836965_bin_9	35
ERR4968593_bin_11	ERR4836965_bin_9	17
ERR4836908_bin_35	ERR4836965_bin_9	18
ERR7167047_bin_8	ERR4836965_bin_9	30
ERR4304505bin_69	ERR4836965_bin_9	17
ERR4968574_bin_18	ERR4836965_bin_9	15
ERR4336989bin_8	ERR4836965_bin_9	22
ERR4836964_bin_67	ERR4836965_bin_9	44
ERR4836961_bin_71	ERR4836965_bin_9	40
ERR4303147bin_12	ERR4836965_bin_9	19
ERR4836928_bin_17	ERR4836965_bin_9	24
ERR4968712_bin_78	ERR4836965_bin_9	24
ERR4968673_bin_41	ERR4836965_bin_9	34
ERR4303218bin_59	ERR4836965_bin_9	25
ERR4303158bin_59	ERR4836965_bin_9	13
ERR4835866_bin_40	ERR4836965_bin_9	18
ERR4968606_bin_18	ERR4836965_bin_9	11
ERR4836956_bin_17	ERR4836965_bin_9	29
ERR4968598_bin_54	ERR4836965_bin_9	11
ERR4304451bin_59	ERR4836965_bin_9	32
ERR4836939_bin_30	ERR4836965_bin_9	27
ERR4303158bin_17	ERR4836965_bin_9	35
ERR4968602_bin_67	ERR4836965_bin_9	15
ERR4836956_bin_24	ERR4836965_bin_9	13
ERR4304454bin_8	ERR4836965_bin_9	19
ERR4836956_bin_18	ERR4836965_bin_9	14
ERR4303222bin_53	ERR4836965_bin_9	18
ERR4304451bin_35	ERR4836965_bin_9	36
ERR4993373_bin_5	ERR4836965_bin_9	36
ERR4968565_bin_23	ERR4836965_bin_9	28
ERR4303221bin_11	ERR4836965_bin_9	23
ERR4304452bin_4	ERR4836965_bin_9	17
